"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option2 name","Option2 value","Option3 name","Option3 value","Price","Compare-at price","Cost per item","Charge tax","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Collection","product.metafields.spartan.department","product.metafields.spartan.spec_available_colours","product.metafields.spartan.spec_average_gross_unit_weight_kg","product.metafields.spartan.spec_average_net_unit_weight_kg","product.metafields.spartan.spec_box_dimensions_l_x_w_x_h_m","product.metafields.spartan.spec_brand","product.metafields.spartan.spec_cable_size_in","product.metafields.spartan.spec_capacity","product.metafields.spartan.spec_carton_size","product.metafields.spartan.spec_certification_standard","product.metafields.spartan.spec_colour","product.metafields.spartan.spec_compatibility","product.metafields.spartan.spec_dimensions","product.metafields.spartan.spec_dimensions_in","product.metafields.spartan.spec_end_fitting_type","product.metafields.spartan_erp.material_code","product.metafields.spartan_erp.product_group","product.metafields.spartan.spec_eu_size","product.metafields.spartan.spec_grade","product.metafields.spartan.spec_handle_type","product.metafields.spartan.spec_height","product.metafields.spartan.spec_hole_diameter","product.metafields.spartan.spec_inside_diameter_in","product.metafields.spartan.spec_length","product.metafields.spartan.spec_material","product.metafields.spartan.spec_net_buoyancy","product.metafields.spartan.spec_notes","product.metafields.spartan.spec_outside_diameter_in","product.metafields.spartan.spec_outside_diameter_after_swage_in","product.metafields.spartan.spec_ply","product.metafields.spartan.spec_shank_x_diameter_in","product.metafields.spartan.spec_size","product.metafields.spartan.spec_size_in","product.metafields.spartan.spec_size_length_mm","product.metafields.spartan.spec_size_number","product.metafields.spartan.spec_standard_tap_size_in","product.metafields.spartan.spec_stock_size_in","product.metafields.spartan.spec_strand","product.metafields.spartan.spec_strength","product.metafields.spartan_erp.supplier_type_code","product.metafields.spartan.spec_take_up_length_j_length_in","product.metafields.spartan.spec_temperature_limit_if_applicable","product.metafields.spartan.spec_thread_size","product.metafields.spartan.spec_torque_specification_ft_lb","product.metafields.spartan.spec_volume","product.metafields.spartan.spec_wattage","product.metafields.spartan.spec_width","product.metafields.spartan.spec_working_load_limit","product.metafields.spartan.spec_working_load_limit_lb","product.metafields.spartan.spec_working_load_limit_ton"
"TURNBUCKLE 7/8X6 STUB END","turnbuckle-7-8x6-stub-end-hs2511406x","TURNBUCKLE 7/8X6 STUB END
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size (in)</th><td>7/8X6</td></tr><tr><th>Working Load Limit (lb)</th><td>7200</td></tr><tr><th>Material</th><td>45#</td></tr><tr><th>End Fitting Type</th><td>STUB END</td></tr><tr><th>Take-Up Length / J Length (in)</th><td>6</td></tr><tr><th>Certification Standard</th><td>FF-T-791b Turnbuckles</td></tr></tbody></table>","Qindao","","Turnbuckles","Spartan import, department:rigging-hardware, category:turnbuckles, Turnbuckles, Qindao","false","draft","HS2511406X","","Title","Default Title","","","","","","","","true","2168","g","true","manual","Turnbuckles","Rigging Hardware","","","","","Q","","","","FF-T-791b Turnbuckles","","","","","STUB END","","","","","","","","","","45#","","","","","","","","7/8X6","","","","","","","","6","","","","","","","","7200",""
"TWINE 1.5MM NYLON BRAIDED WHITE","twine-1-5mm-nylon-braided-white-t1-5mmnbws","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T1.5MMNBWS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWINE 1.75MM POLY E BRAIDED GREEN","twine-1-75mm-poly-e-braided-green-t1-75mmpebgs","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T1.75MMPEBGS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWINE 1.75MM POLY E BRAIDED ORANGE","twine-1-75mm-poly-e-braided-orange-t1-75mmpebos","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T1.75MMPEBOS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWINE 2.0MM NYLON BRAIDED BLACK & TARRED","twine-2-0mm-nylon-braided-black-tarred-t2mmnbbktars","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T2MMNBBKTARS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWINE 2.0MM NYLON BRAIDED WHITE","twine-2-0mm-nylon-braided-white-t2mmnbws","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T2MMNBWS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWINE 2.5MM POLY E BRAIDED GREEN","twine-2-5mm-poly-e-braided-green-t2-5mmpebgs","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T2.5MMPEBGS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWINE 3.0MM NYLON BRAIDED WHITE","twine-3-0mm-nylon-braided-white-t3mmnbws","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T3MMNBWS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWINE 3.0MM POLY E BRAIDED BLUE","twine-3-0mm-poly-e-braided-blue-t3mmpebbs","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T3MMPEBBS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWINE 3.0MM POLY E BRAIDED GREEN","twine-3-0mm-poly-e-braided-green-t3mmpebgs","","SEA MASTER ENTERPRISE CO LTD","","Twine","Spartan import, department:rope-line-nets, category:twine, Twine, SEA MASTER ENTERPRISE CO LTD","false","draft","T3MMPEBGS","","Title","Default Title","","","","","","","","true","","","true","manual","Twine","Rope, Line & Nets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
