"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option2 name","Option2 value","Option3 name","Option3 value","Price","Compare-at price","Cost per item","Charge tax","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Collection","product.metafields.spartan.department","product.metafields.spartan.spec_available_colours","product.metafields.spartan.spec_average_gross_unit_weight_kg","product.metafields.spartan.spec_average_net_unit_weight_kg","product.metafields.spartan.spec_box_dimensions_l_x_w_x_h_m","product.metafields.spartan.spec_brand","product.metafields.spartan.spec_cable_size_in","product.metafields.spartan.spec_capacity","product.metafields.spartan.spec_carton_size","product.metafields.spartan.spec_certification_standard","product.metafields.spartan.spec_colour","product.metafields.spartan.spec_compatibility","product.metafields.spartan.spec_dimensions","product.metafields.spartan.spec_dimensions_in","product.metafields.spartan.spec_end_fitting_type","product.metafields.spartan_erp.material_code","product.metafields.spartan_erp.product_group","product.metafields.spartan.spec_eu_size","product.metafields.spartan.spec_grade","product.metafields.spartan.spec_handle_type","product.metafields.spartan.spec_height","product.metafields.spartan.spec_hole_diameter","product.metafields.spartan.spec_inside_diameter_in","product.metafields.spartan.spec_length","product.metafields.spartan.spec_material","product.metafields.spartan.spec_net_buoyancy","product.metafields.spartan.spec_notes","product.metafields.spartan.spec_outside_diameter_in","product.metafields.spartan.spec_outside_diameter_after_swage_in","product.metafields.spartan.spec_ply","product.metafields.spartan.spec_shank_x_diameter_in","product.metafields.spartan.spec_size","product.metafields.spartan.spec_size_in","product.metafields.spartan.spec_size_length_mm","product.metafields.spartan.spec_size_number","product.metafields.spartan.spec_standard_tap_size_in","product.metafields.spartan.spec_stock_size_in","product.metafields.spartan.spec_strand","product.metafields.spartan.spec_strength","product.metafields.spartan_erp.supplier_type_code","product.metafields.spartan.spec_take_up_length_j_length_in","product.metafields.spartan.spec_temperature_limit_if_applicable","product.metafields.spartan.spec_thread_size","product.metafields.spartan.spec_torque_specification_ft_lb","product.metafields.spartan.spec_volume","product.metafields.spartan.spec_wattage","product.metafields.spartan.spec_width","product.metafields.spartan.spec_working_load_limit","product.metafields.spartan.spec_working_load_limit_lb","product.metafields.spartan.spec_working_load_limit_ton"
"EYE BOLT 3/8X 6 SHOULDER NUT GALV","eye-bolt-3-8x-6-shoulder-nut-galv-g2770606x","EYE BOLT 3/8X 6 SHOULDER NUT GALV
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Shank × Diameter (in)</th><td>3/8X 6</td></tr><tr><th>Working Load Limit (lb)</th><td>1550</td></tr></tbody></table>","Qindao","","Eye Bolts","Spartan import, department:rigging-hardware, category:eye-bolts, Eye Bolts, Qindao","false","draft","G2770606X","","Title","Default Title","","","","","","","","true","0","g","true","manual","Eye Bolts","Rigging Hardware","","","","","Q","","","","","","","","","","","","","","","","","","","","","","","","","3/8X 6","","","","","","","","","","","","","","","","","","1550",""
"EYE NUT 1-1/4 TAP 1 STOCK GALV","eye-nut-1-1-4-tap-1-stock-galv-g40020x","EYE NUT 1-1/4 TAP 1 STOCK GALV
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size Number</th><td>8</td></tr><tr><th>Stock Size (in)</th><td>1</td></tr><tr><th>Standard Tap Size (in)</th><td>1-1/4&quot;</td></tr><tr><th>Working Load Limit (lb)</th><td>15500LBS</td></tr></tbody></table>","Qindao","","Eye Nuts","Spartan import, department:rigging-hardware, category:eye-nuts, Eye Nuts, Qindao","false","draft","G40020X","","Title","Default Title","","","","","","","","true","898","g","true","manual","Eye Nuts","Rigging Hardware","","","","","Q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","1-1/4""","1","","","","","","","","","","","","15500LBS",""
"EYE NUT 3/4 7/8 TAP SIZE GALV","eye-nut-3-4-7-8-tap-size-galv-g40014x","EYE NUT 3/4 7/8 TAP SIZE GALV
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size Number</th><td>6</td></tr><tr><th>Stock Size (in)</th><td>0.75</td></tr><tr><th>Standard Tap Size (in)</th><td>7/8&quot;</td></tr><tr><th>Working Load Limit (lb)</th><td>7200LBS</td></tr></tbody></table>","Qindao","","Eye Nuts","Spartan import, department:rigging-hardware, category:eye-nuts, Eye Nuts, Qindao","false","draft","G40014X","","Title","Default Title","","","","","","","","true","363","g","true","manual","Eye Nuts","Rigging Hardware","","","","","Q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","7/8""","0.75","","","","","","","","","","","","7200LBS",""
"EYE NUT 7/8 1 TAP SIZE","eye-nut-7-8-1-tap-size-g40016x","EYE NUT 7/8 1 TAP SIZE
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size Number</th><td>7</td></tr><tr><th>Stock Size (in)</th><td>0.88</td></tr><tr><th>Standard Tap Size (in)</th><td>1&quot;</td></tr><tr><th>Working Load Limit (lb)</th><td>10000LBS</td></tr></tbody></table>","Qindao","","Eye Nuts","Spartan import, department:rigging-hardware, category:eye-nuts, Eye Nuts, Qindao","false","draft","G40016X","","Title","Default Title","","","","","","","","true","553","g","true","manual","Eye Nuts","Rigging Hardware","","","","","Q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1""","0.88","","","","","","","","","","","","10000LBS",""
"Fierce Boot Insole — Blue","fierce-boot-insole-blue","<table><tbody><tr><th>Colour</th><td>Blue</td></tr><tr><th>Compatibility</th><td>Fierce Boot Red</td></tr></tbody></table>","CMF AYAKKABICILIK SAN LTD","","Insoles","Spartan import, department:workwear-footwear, category:insoles, Insoles, CMF AYAKKABICILIK SAN LTD","false","draft","FINS39-6","","EU Size","39","","","","","","","","true","","","true","manual","Insoles","Workwear & Footwear","","","","","","","","","","Blue","Fierce Boot Red","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-boot-insole-blue","","","","","","","","FINS41-8","","EU Size","41","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-boot-insole-blue","","","","","","","","FINS42-9","","EU Size","42","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-boot-insole-blue","","","","","","","","FINS43-10","","EU Size","43","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-boot-insole-blue","","","","","","","","FINS44-11","","EU Size","44","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-boot-insole-blue","","","","","","","","FINS45-12","","EU Size","45","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-boot-insole-blue","","","","","","","","FINS46-13","","EU Size","46","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-boot-insole-blue","","","","","","","","FINS47-14","","EU Size","47","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fierce Endurance Jacket","fierce-endurance-jacket","<table><tbody><tr><th>Material</th><td>69% PVC / 14% Polyester / 14% Cotton / 3% PU</td></tr></tbody></table>","TOPTUXEDO IDA","","JACKET","Spartan import, department:workwear-footwear, category:jackets, Jackets, TOPTUXEDO IDA","false","draft","50JFY-2XL","","Colour","Yellow Fluor","Size","2XL","","","","","","true","","","true","manual","Jackets","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","69% PVC / 14% Polyester / 14% Cotton / 3% PU","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JFY-3XL","","Colour","Yellow Fluor","Size","3XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JFY-4XL","","Colour","Yellow Fluor","Size","4XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JFY-L","","Colour","Yellow Fluor","Size","L","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JFY-M","","Colour","Yellow Fluor","Size","M","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JFY-S","","Colour","Yellow Fluor","Size","S","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JFY-XL","","Colour","Yellow Fluor","Size","XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JFY-XS","","Colour","Yellow Fluor","Size","XS","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JFY-XXS","","Colour","Yellow Fluor","Size","XXS","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-2XL","","Colour","Moss Green","Size","2XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-3XL","","Colour","Moss Green","Size","3XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-4XL","","Colour","Moss Green","Size","4XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-L","","Colour","Moss Green","Size","L","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-M","","Colour","Moss Green","Size","M","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-S","","Colour","Moss Green","Size","S","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-XL","","Colour","Moss Green","Size","XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-XS","","Colour","Moss Green","Size","XS","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-jacket","","","","","","","","50JMG-XXS","","Colour","Moss Green","Size","XXS","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fierce Endurance Pants","fierce-endurance-pants","<table><tbody><tr><th>Material</th><td>69% PVC / 14% Polyester / 14% Cotton / 3% PU</td></tr></tbody></table>","TOPTUXEDO IDA","","BIB PANTS","Spartan import, department:workwear-footwear, category:pants, Pants, TOPTUXEDO IDA","false","draft","50PFY-2XL","","Colour","Yellow Fluor","Size","2XL","","","","","","true","","","true","manual","Pants","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","69% PVC / 14% Polyester / 14% Cotton / 3% PU","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PFY-3XL","","Colour","Yellow Fluor","Size","3XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PFY-4XL","","Colour","Yellow Fluor","Size","4XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PFY-L","","Colour","Yellow Fluor","Size","L","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PFY-M","","Colour","Yellow Fluor","Size","M","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PFY-S","","Colour","Yellow Fluor","Size","S","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PFY-XL","","Colour","Yellow Fluor","Size","XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PFY-XS","","Colour","Yellow Fluor","Size","XS","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PFY-XXS","","Colour","Yellow Fluor","Size","XXS","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-2XL","","Colour","Moss Green","Size","2XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-3XL","","Colour","Moss Green","Size","3XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-4XL","","Colour","Moss Green","Size","4XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-L","","Colour","Moss Green","Size","L","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-M","","Colour","Moss Green","Size","M","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-S","","Colour","Moss Green","Size","S","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-XL","","Colour","Moss Green","Size","XL","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-XS","","Colour","Moss Green","Size","XS","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-endurance-pants","","","","","","","","50PMG-XXS","","Colour","Moss Green","Size","XXS","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fierce Evolution Jacket","fierce-evolution-jacket","<table><tbody><tr><th>Material</th><td>88% PVC / 12% Polyester + 71% PVC / 29% Polyester</td></tr><tr><th>Colour</th><td>Orange/Blue</td></tr></tbody></table>","TOPTUXEDO IDA","","JACKET","Spartan import, department:workwear-footwear, category:jackets, Jackets, TOPTUXEDO IDA","false","draft","70JOB-2XL","","Size","2XL","","","","","","","","true","","","true","manual","Jackets","Workwear & Footwear","","","","","","","","","","Orange/Blue","","","","","","","","","","","","","","88% PVC / 12% Polyester + 71% PVC / 29% Polyester","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-jacket","","","","","","","","70JOB-3XL","","Size","3XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-jacket","","","","","","","","70JOB-4XL","","Size","4XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-jacket","","","","","","","","70JOB-L","","Size","L","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-jacket","","","","","","","","70JOB-M","","Size","M","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-jacket","","","","","","","","70JOB-S","","Size","S","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-jacket","","","","","","","","70JOB-XL","","Size","XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-jacket","","","","","","","","70JOB-XS","","Size","XS","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-jacket","","","","","","","","70JOB-XXS","","Size","XXS","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fierce Evolution Pants","fierce-evolution-pants","<table><tbody><tr><th>Material</th><td>88% PVC / 12% Polyester + 71% PVC / 29% Polyester</td></tr><tr><th>Colour</th><td>Orange/Blue</td></tr></tbody></table>","TOPTUXEDO IDA","","BIB PANTS","Spartan import, department:workwear-footwear, category:pants, Pants, TOPTUXEDO IDA","false","draft","70POB-2XL","","Size","2XL","","","","","","","","true","","","true","manual","Pants","Workwear & Footwear","","","","","","","","","","Orange/Blue","","","","","","","","","","","","","","88% PVC / 12% Polyester + 71% PVC / 29% Polyester","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-pants","","","","","","","","70POB-3XL","","Size","3XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-pants","","","","","","","","70POB-4XL","","Size","4XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-pants","","","","","","","","70POB-L","","Size","L","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-pants","","","","","","","","70POB-M","","Size","M","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-pants","","","","","","","","70POB-S","","Size","S","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-pants","","","","","","","","70POB-XL","","Size","XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-pants","","","","","","","","70POB-XS","","Size","XS","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-evolution-pants","","","","","","","","70POB-XXS","","Size","XXS","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fierce Explorer Jacket","fierce-explorer-jacket","<table><tbody><tr><th>Material</th><td>88% PVC / 12% Polyester</td></tr><tr><th>Colour</th><td>Yellow/Grey</td></tr></tbody></table>","TOPTUXEDO IDA","","JACKET","Spartan import, department:workwear-footwear, category:jackets, Jackets, TOPTUXEDO IDA","false","draft","60JYG-2XL","","Size","2XL","","","","","","","","true","","","true","manual","Jackets","Workwear & Footwear","","","","","","","","","","Yellow/Grey","","","","","","","","","","","","","","88% PVC / 12% Polyester","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-jacket","","","","","","","","60JYG-3XL","","Size","3XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-jacket","","","","","","","","60JYG-4XL","","Size","4XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-jacket","","","","","","","","60JYG-L","","Size","L","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-jacket","","","","","","","","60JYG-M","","Size","M","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-jacket","","","","","","","","60JYG-S","","Size","S","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-jacket","","","","","","","","60JYG-XL","","Size","XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-jacket","","","","","","","","60JYG-XS","","Size","XS","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-jacket","","","","","","","","60JYG-XXS","","Size","XXS","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fierce Explorer Pants","fierce-explorer-pants","<table><tbody><tr><th>Material</th><td>88% PVC / 12% Polyester</td></tr><tr><th>Colour</th><td>Yellow/Grey</td></tr></tbody></table>","TOPTUXEDO IDA","","BIB PANTS","Spartan import, department:workwear-footwear, category:pants, Pants, TOPTUXEDO IDA","false","draft","60PYG-2XL","","Size","2XL","","","","","","","","true","","","true","manual","Pants","Workwear & Footwear","","","","","","","","","","Yellow/Grey","","","","","","","","","","","","","","88% PVC / 12% Polyester","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-pants","","","","","","","","60PYG-3XL","","Size","3XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-pants","","","","","","","","60PYG-4XL","","Size","4XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-pants","","","","","","","","60PYG-L","","Size","L","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-pants","","","","","","","","60PYG-M","","Size","M","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-pants","","","","","","","","60PYG-S","","Size","S","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-pants","","","","","","","","60PYG-XL","","Size","XL","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-pants","","","","","","","","60PYG-XS","","Size","XS","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-explorer-pants","","","","","","","","60PYG-XXS","","Size","XXS","","","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fierce Frontier Boots","fierce-frontier-boots","<table><tbody><tr><th>Material</th><td>Polyurethane</td></tr></tbody></table>","CMF AYAKKABICILIK SAN LTD","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, CMF AYAKKABICILIK SAN LTD","false","draft","FPUBSG36-3","","Colour","Green/Black","Size","36","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","Polyurethane","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG37-4","","Colour","Green/Black","Size","37","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG38-5","","Colour","Green/Black","Size","38","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG39-6","","Colour","Green/Black","Size","39","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG40-7","","Colour","Green/Black","Size","40","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG41-8","","Colour","Green/Black","Size","41","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG42-9","","Colour","Green/Black","Size","42","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG43-10","","Colour","Green/Black","Size","43","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG44-11","","Colour","Green/Black","Size","44","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG45-12","","Colour","Green/Black","Size","45","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fierce-frontier-boots","","","","","","","","FPUBSG46-13","","Colour","Green/Black","Size","46","","","","","","true","","","true","manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
